character_id,name_kr,character_name,normalized_key,scenarios,search_google,search_ko_wiki,search_namu,status,decision,reason,source1,source2,verified_at,precheck_status,precheck_reason,precheck_source,precheck_query
2319,서상,seo_sang_2319,seo_sang_2319,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%84%9C%EC%83%81%20%EC%82%BC%EA%B5%AD%EC%A7%80%20seo_sang_2319,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%83%81,https://namu.wiki/w/%EC%84%9C%EC%83%81,PENDING,,,,,,KEEP_CANDIDATE,"contains keywords: 삼국, 후한, 조조, 유비, 위나라",https://ko.wikipedia.org/wiki/%EC%82%BC%EA%B5%AD%EC%A7%80,서상 삼국지
2320,서선,seo_seon_2320,seo_seon_2320,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%84%9C%EC%84%A0%20%EC%82%BC%EA%B5%AD%EC%A7%80%20seo_seon_2320,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%84%A0,https://namu.wiki/w/%EC%84%9C%EC%84%A0,PENDING,,,,,,KEEP_CANDIDATE,"contains keywords: 삼국, 후한, 조조, 유비, 위나라",https://ko.wikipedia.org/wiki/%EC%82%BC%EA%B5%AD%EC%A7%80,서선 삼국지
2321,서씨,seo_ssi_2321,seo_ssi_2321,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%84%9C%EC%94%A8%20%EC%82%BC%EA%B5%AD%EC%A7%80%20seo_ssi_2321,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%94%A8,https://namu.wiki/w/%EC%84%9C%EC%94%A8,PENDING,,,,,,KEEP_CANDIDATE,"contains keywords: 삼국, 후한, 조조, 유비, 위나라",https://ko.wikipedia.org/wiki/%EC%82%BC%EA%B5%AD%EC%A7%80,서씨 삼국지
2322,서혁,seo_hyeok_2322,seo_hyeok_2322,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%84%9C%ED%98%81%20%EC%82%BC%EA%B5%AD%EC%A7%80%20seo_hyeok_2322,https://ko.wikipedia.org/wiki/%EC%84%9C%ED%98%81,https://namu.wiki/w/%EC%84%9C%ED%98%81,PENDING,,,,,,KEEP_CANDIDATE,"contains keywords: 삼국, 후한, 조조, 유비, 위나라",https://ko.wikipedia.org/wiki/%EC%82%BC%EA%B5%AD%EC%A7%80,서혁 삼국지
2323,석도,seok_do_2323,seok_do_2323,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%84%9D%EB%8F%84%20%EC%82%BC%EA%B5%AD%EC%A7%80%20seok_do_2323,https://ko.wikipedia.org/wiki/%EC%84%9D%EB%8F%84,https://namu.wiki/w/%EC%84%9D%EB%8F%84,PENDING,,,,,,KEEP_CANDIDATE,contains keywords: 삼국,https://ko.wikipedia.org/wiki/%EC%82%BC%EA%B5%AD%EC%A7%80%20%EC%9D%B8%EB%AC%BC%20%EB%AA%A9%EB%A1%9D,석도 삼국지
2324,선우단,seonu_dan_2324,seonu_dan_2324,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%84%A0%EC%9A%B0%EB%8B%A8%20%EC%82%BC%EA%B5%AD%EC%A7%80%20seonu_dan_2324,https://ko.wikipedia.org/wiki/%EC%84%A0%EC%9A%B0%EB%8B%A8,https://namu.wiki/w/%EC%84%A0%EC%9A%B0%EB%8B%A8,PENDING,,,,,,KEEP_CANDIDATE,contains keywords: 삼국,https://ko.wikipedia.org/wiki/%EC%82%BC%EA%B5%AD%EC%A7%80%20%EC%9D%B8%EB%AC%BC%20%EB%AA%A9%EB%A1%9D,선우단 삼국지
2325,선우보,seonu_bo_2325,seonu_bo_2325,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%84%A0%EC%9A%B0%EB%B3%B4%20%EC%82%BC%EA%B5%AD%EC%A7%80%20seonu_bo_2325,https://ko.wikipedia.org/wiki/%EC%84%A0%EC%9A%B0%EB%B3%B4,https://namu.wiki/w/%EC%84%A0%EC%9A%B0%EB%B3%B4,PENDING,,,,,,KEEP_CANDIDATE,"contains keywords: 삼국, 후한, 위나라",https://ko.wikipedia.org/wiki/%EC%84%A0%EC%9A%B0%EB%B3%B4,선우보 삼국지
2326,설귀니,seol_gwini_2326,seol_gwini_2326,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%84%A4%EA%B7%80%EB%8B%88%20%EC%82%BC%EA%B5%AD%EC%A7%80%20seol_gwini_2326,https://ko.wikipedia.org/wiki/%EC%84%A4%EA%B7%80%EB%8B%88,https://namu.wiki/w/%EC%84%A4%EA%B7%80%EB%8B%88,PENDING,,,,,,REMOVE_CANDIDATE,no key Three Kingdoms keywords in intro,https://ko.wikipedia.org/wiki/%EC%98%A4%EC%84%B8%ED%99%8D,설귀니 삼국지
2327,설란,seol_ran_2327,seol_ran_2327,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%84%A4%EB%9E%80%20%EC%82%BC%EA%B5%AD%EC%A7%80%20seol_ran_2327,https://ko.wikipedia.org/wiki/%EC%84%A4%EB%9E%80,https://namu.wiki/w/%EC%84%A4%EB%9E%80,PENDING,,,,,,KEEP_CANDIDATE,contains keywords: 삼국,https://ko.wikipedia.org/wiki/%EC%82%BC%EA%B5%AD%EC%A7%80%20%EC%9D%B8%EB%AC%BC%20%EB%AA%A9%EB%A1%9D,설란 삼국지
2328,설례,seol_rye_2328,seol_rye_2328,"s1, s2, s3, s4, s5, s6, s7, s8, s9, s10",https://www.google.com/search?q=%EC%84%A4%EB%A1%80%20%EC%82%BC%EA%B5%AD%EC%A7%80%20seol_rye_2328,https://ko.wikipedia.org/wiki/%EC%84%A4%EB%A1%80,https://namu.wiki/w/%EC%84%A4%EB%A1%80,PENDING,,,,,,KEEP_CANDIDATE,contains keywords: 삼국,https://ko.wikipedia.org/wiki/%EC%82%BC%EA%B5%AD%EC%A7%80%20%EC%9D%B8%EB%AC%BC%20%EB%AA%A9%EB%A1%9D,설례 삼국지
