id,name,slug,title,path,url
593,주이,ju_i_593,주이(삼국지),/w/주이(삼국지),https://namu.wiki/w/%EC%A3%BC%EC%9D%B4(%EC%82%BC%EA%B5%AD%EC%A7%80)
595,오찬,o_chan_595,오찬(삼국지),/w/오찬(삼국지),https://namu.wiki/w/%EC%98%A4%EC%B0%AC(%EC%82%BC%EA%B5%AD%EC%A7%80)
597,여대,yeo_dae_597,여대(삼국지),/w/여대(삼국지),https://namu.wiki/w/%EC%97%AC%EB%8C%80(%EC%82%BC%EA%B5%AD%EC%A7%80)
609,호진,ho_jin_609,호진(삼국지),/w/호진(삼국지),https://namu.wiki/w/%ED%98%B8%EC%A7%84(%EC%82%BC%EA%B5%AD%EC%A7%80)
615,유혁,yu_hyeok_615,유혁,/w/유혁,https://namu.wiki/w/%EC%9C%A0%ED%98%81
617,유이,yu_i_617,유이(삼국지),/w/유이(삼국지),https://namu.wiki/w/%EC%9C%A0%EC%9D%B4(%EC%82%BC%EA%B5%AD%EC%A7%80)
625,장소,jang_so_625,장소(삼국지),/w/장소(삼국지),https://namu.wiki/w/%EC%9E%A5%EC%86%8C(%EC%82%BC%EA%B5%AD%EC%A7%80)
629,진충,jin_chung_629,진충,/w/진충,https://namu.wiki/w/%EC%A7%84%EC%B6%A9
632,교유,gyo_yu_632,교유,/w/교유,https://namu.wiki/w/%EA%B5%90%EC%9C%A0
644,왕욱,wang_uk_644,왕욱(삼국지),/w/왕욱(삼국지),https://namu.wiki/w/%EC%99%95%EC%9A%B1(%EC%82%BC%EA%B5%AD%EC%A7%80)
646,왕보,wang_bo_646,왕보(삼국지),/w/왕보(삼국지),https://namu.wiki/w/%EC%99%95%EB%B3%B4(%EC%82%BC%EA%B5%AD%EC%A7%80)
649,왕상,wang_sang_649,왕상(삼국지),/w/왕상(삼국지),https://namu.wiki/w/%EC%99%95%EC%83%81(%EC%82%BC%EA%B5%AD%EC%A7%80)
663,원희,won_hui_663,원희(삼국지),/w/원희(삼국지),https://namu.wiki/w/%EC%9B%90%ED%9D%AC(%EC%82%BC%EA%B5%AD%EC%A7%80)
666,원매,won_mae_666,원매,/w/원매,https://namu.wiki/w/%EC%9B%90%EB%A7%A4
668,원유,won_yu_668,원유(삼국지),/w/원유(삼국지),https://namu.wiki/w/%EC%9B%90%EC%9C%A0(%EC%82%BC%EA%B5%AD%EC%A7%80)
679,관구의,gwan_guui_679,관구의,/w/관구의,https://namu.wiki/w/%EA%B4%80%EA%B5%AC%EC%9D%98
691,교공,gyo_gong_691,교공,/w/교공,https://namu.wiki/w/%EA%B5%90%EA%B3%B5
700,동백,dong_baek_700,동백(삼국지),/w/동백(삼국지),https://namu.wiki/w/%EB%8F%99%EB%B0%B1(%EC%82%BC%EA%B5%AD%EC%A7%80)
703,오반,o_ban_703,오반(삼국지),/w/오반(삼국지),https://namu.wiki/w/%EC%98%A4%EB%B0%98(%EC%82%BC%EA%B5%AD%EC%A7%80)
704,오란,o_ran_704,오란(삼국지),/w/오란(삼국지),https://namu.wiki/w/%EC%98%A4%EB%9E%80(%EC%82%BC%EA%B5%AD%EC%A7%80)
709,정문,jeong_mun_709,정문(삼국지연의),/w/정문(삼국지연의),https://namu.wiki/w/%EC%A0%95%EB%AC%B8(%EC%82%BC%EA%B5%AD%EC%A7%80%EC%97%B0%EC%9D%98)
711,이헌,i_heon_711,이헌,/w/이헌,https://namu.wiki/w/%EC%9D%B4%ED%97%8C
724,왕련,wang_ryeon_724,왕련,/w/왕련,https://namu.wiki/w/%EC%99%95%EB%A0%A8
726,왕도,wang_do_726,왕도(삼국지연의),/w/왕도(삼국지연의),https://namu.wiki/w/%EC%99%95%EB%8F%84(%EC%82%BC%EA%B5%AD%EC%A7%80%EC%97%B0%EC%9D%98)
727,왕경,wang_gyeong_727,왕경(삼국지),/w/왕경(삼국지),https://namu.wiki/w/%EC%99%95%EA%B2%BD(%EC%82%BC%EA%B5%AD%EC%A7%80)
733,조방,jo_bang_733,조방,/w/조방,https://namu.wiki/w/%EC%A1%B0%EB%B0%A9
734,조모,jo_mo_734,조모(삼국지),/w/조모(삼국지),https://namu.wiki/w/%EC%A1%B0%EB%AA%A8(%EC%82%BC%EA%B5%AD%EC%A7%80)
742,변양,byeon_yang_742,변양,/w/변양,https://namu.wiki/w/%EB%B3%80%EC%96%91
767,이복,i_bok_767,이복,/w/이복,https://namu.wiki/w/%EC%9D%B4%EB%B3%B5
769,방열,bang_yeol_769,방열(삼국지연의),/w/방열(삼국지연의),https://namu.wiki/w/%EB%B0%A9%EC%97%B4(%EC%82%BC%EA%B5%AD%EC%A7%80%EC%97%B0%EC%9D%98)
770,진식,jin_sik_770,진식(삼국지),/w/진식(삼국지),https://namu.wiki/w/%EC%A7%84%EC%8B%9D(%EC%82%BC%EA%B5%AD%EC%A7%80)
771,진태,jin_tae_771,진태,/w/진태,https://namu.wiki/w/%EC%A7%84%ED%83%9C
772,우금,yu_jin_772,우금,/w/우금,https://namu.wiki/w/%EC%9A%B0%EA%B8%88
774,장달,jang_dal_774,장달,/w/장달,https://namu.wiki/w/%EC%9E%A5%EB%8B%AC
779,포충,po_chung_779,포충,/w/포충,https://namu.wiki/w/%ED%8F%AC%EC%B6%A9
780,한현,han_hyeon_780,한현,/w/한현,https://namu.wiki/w/%ED%95%9C%ED%98%84
787,양원,yang_won_787,양원(후한),/w/양원(후한),https://namu.wiki/w/%EC%96%91%EC%9B%90(%ED%9B%84%ED%95%9C)
795,제갈첨,jegal_cheom_795,제갈첨,/w/제갈첨,https://namu.wiki/w/%EC%A0%9C%EA%B0%88%EC%B2%A8
803,종육,jong_yuk_803,종육,/w/종육,https://namu.wiki/w/%EC%A2%85%EC%9C%A1
804,호준,ho_jun_804,호준,/w/호준,https://namu.wiki/w/%ED%98%B8%EC%A4%80
805,호열,ho_yeol_805,호열,/w/호열,https://namu.wiki/w/%ED%98%B8%EC%97%B4
806,호소,ho_so_806,호소(삼국지),/w/호소(삼국지),https://namu.wiki/w/%ED%98%B8%EC%86%8C(%EC%82%BC%EA%B5%AD%EC%A7%80)
810,맹광,maeng_gwang_810,맹광(삼국지),/w/맹광(삼국지),https://namu.wiki/w/%EB%A7%B9%EA%B4%91(%EC%82%BC%EA%B5%AD%EC%A7%80)
814,장숙,jang_suk_814,장숙,/w/장숙,https://namu.wiki/w/%EC%9E%A5%EC%88%99
821,유범,yu_beom_821,유범,/w/유범,https://namu.wiki/w/%EC%9C%A0%EB%B2%94
824,왕수,wang_su_824,왕수(삼국지),/w/왕수(삼국지),https://namu.wiki/w/%EC%99%95%EC%88%98(%EC%82%BC%EA%B5%AD%EC%A7%80)
