id,name,slug,status,query,title,path,url,score,reason,desc_excerpt,categories
109,진밀,jin_mil_109,KEEP,진밀,진밀,/w/%EC%A7%84%EB%B0%80,https://namu.wiki/w/%EC%A7%84%EB%B0%80,11,strong:삼국시대|정사 삼국지|촉한,삼국시대 촉한 의 신하. 자 는 자칙(子敕). 정사 삼국지 익주 광한군 면죽현 사람으로 젊을 때부터 어린,226년 사망 | 촉한의 유학자 | 더양시 출신 인물
111,종예,jong_ye_111,KEEP,종예(조위),종예(조위),/w/%EC%A2%85%EC%98%88(%EC%A1%B0%EC%9C%84),https://namu.wiki/w/%EC%A2%85%EC%98%88(%EC%A1%B0%EC%9C%84),13,strong:삼국시대|조위|위나라;qual:조위,삼국시대 위나라 의 인물이자 종요 의 손자로 예주 영천군 장사현 사람. 생애 조비 가 종육 의 봉지를 분할하,조위의 인물 | 영천 종씨 | 몰년 미상
113,풍습,pung_seup_113,KEEP,풍습(삼국지),풍습(삼국지),/w/%ED%92%8D%EC%8A%B5(%EC%82%BC%EA%B5%AD%EC%A7%80),https://namu.wiki/w/%ED%92%8D%EC%8A%B5(%EC%82%BC%EA%B5%AD%EC%A7%80),13,strong:삼국시대|정사 삼국지|촉한;qual:삼국지,삼국시대 촉한 의 장수이며 자 는 휴원(休元)으로 형주 남군 사람이다. 정사 삼국지 유비 를 수행해 2,촉한의 인물 | 222년 사망 | 징저우시 출신 인물 | 중국의 살해된 인물 | 전쟁 사망자
117,여몽,lu_meng_117,KEEP,여몽,여몽,/w/%EC%97%AC%EB%AA%BD,https://namu.wiki/w/%EC%97%AC%EB%AA%BD,7,strong:후한 말,"후한 말의 인물. 손책 , 손권 휘하의 무장. 자 는 자명(子明). 예주 여남군 부파현 사람. 손권",후한의 인물 | 178년 출생 | 219년 사망 | 푸양시(안후이성) 출신 인물
122,주태,zhou_tai_122,KEEP,주태(조위),주태(조위),/w/%EC%A3%BC%ED%83%9C(%EC%A1%B0%EC%9C%84),https://namu.wiki/w/%EC%A3%BC%ED%83%9C(%EC%A1%B0%EC%9C%84),15,strong:삼국시대|정사 삼국지|조위|위나라;qual:조위,삼국시대 위나라의 장수로 형주 남양군 출신이다. 정사 삼국지 형주자사 배잠 에게 등용되어 완에 있는 사마의 에,조위의 인물 | 261년 사망
126,정보,cheng_pu_126,KEEP,정보(삼국지),정보(삼국지),/w/%EC%A0%95%EB%B3%B4(%EC%82%BC%EA%B5%AD%EC%A7%80),https://namu.wiki/w/%EC%A0%95%EB%B3%B4(%EC%82%BC%EA%B5%AD%EC%A7%80),11,strong:후한 말|정사 삼국지;qual:삼국지,후한 말의 군벌인 손권 의 무장. 손씨 가문의 부하로 그야말로 문무겸장 . 정사 삼국지 유주 우북평군 토,몰년 미상 | 한나라/무관 | 탕산시 출신 인물 | 감염병으로 죽은 인물
133,반장,ban_jang_133,KEEP,반장(삼국지),반장(삼국지),/w/%EB%B0%98%EC%9E%A5(%EC%82%BC%EA%B5%AD%EC%A7%80),https://namu.wiki/w/%EB%B0%98%EC%9E%A5(%EC%82%BC%EA%B5%AD%EC%A7%80),15,strong:후한 말|삼국시대|손오|오나라;qual:삼국지,후한 말과 삼국시대 오나라 의 장수이며 자는 문규(文珪)로 연주 동군(東郡) 발간현(發干縣) 출신 현 산둥,한나라/무관 | 손오의 인물 | 234년 사망 | 랴오청시 출신 인물
134,주연,ju_yeon_134,KEEP,주연(삼국지),주연(삼국지),/w/%EC%A3%BC%EC%97%B0(%EC%82%BC%EA%B5%AD%EC%A7%80),https://namu.wiki/w/%EC%A3%BC%EC%97%B0(%EC%82%BC%EA%B5%AD%EC%A7%80),15,strong:후한 말|삼국시대|손오|오나라;qual:삼국지,"후한 말과 삼국시대 오나라 의 인물이며 자 는 의봉(義封)으로 본명은 시연(施然). 주치 의 양자 ,",후한의 인물 | 손오의 인물 | 182년 출생 | 249년 사망 | 후저우시 출신 인물
140,전종,jeon_jong_140,KEEP,전종,전종,/w/%EC%A0%84%EC%A2%85,https://namu.wiki/w/%EC%A0%84%EC%A2%85,13,strong:후한 말|삼국시대|손오|오나라,"후한 말, 삼국시대 오나라 의 장수이자 손권 의 사위로 자 는 자황(子璜). 양주 오군 전당현 사",후한의 인물 | 손오의 부마 | 오군 전씨
146,여범,yeo_beom_146,KEEP,여범,여범,/w/%EC%97%AC%EB%B2%94,https://namu.wiki/w/%EC%97%AC%EB%B2%94,13,strong:후한 말|삼국시대|손오|오나라,"후한 말의 인물이자 삼국시대 오나라 의 관료. 여거 의 아버지, 아내는 유씨 . 자 는 자형(子衡).",후한의 인물 | 손오의 인물 | 228년 사망 | 푸양시(안후이성) 출신 인물
154,안량,an_ryang_154,KEEP,안량,안량,/w/%EC%95%88%EB%9F%89,https://namu.wiki/w/%EC%95%88%EB%9F%89,9,strong:후한 말|정사 삼국지,후한 말의 인물이자 원소 휘하의 장수. 정사 삼국지 열전이 존재하지 않기 때문에 다른 인물들의 기록에서 그 편,후한의 인물 | 한나라/무관 | 200년 사망 | 전쟁 사망자 | 린이시 출신 인물
155,전풍,jeon_pung_155,KEEP,전풍,전풍,/w/%EC%A0%84%ED%92%8D,https://namu.wiki/w/%EC%A0%84%ED%92%8D,7,strong:후한 말,"후한 말의 인물. 자 는 원호 (元皓). 기주 거록군 출신, 일설에는 발해군 출신. 원소 를 섬긴",200년 사망 | 후한의 인물 | 한나라의 관료 | 옥사한 인물 | 허베이성 출신 인물 | 중국의 살해된 인물
158,곽도,gwak_do_158,KEEP,곽도,곽도,/w/%EA%B3%BD%EB%8F%84,https://namu.wiki/w/%EA%B3%BD%EB%8F%84,7,strong:후한 말,후한 말의 군벌인 원소 의 부하이며 자 는 공칙(公則)으로 예주 영천군 사람이다. 조조 의 모사인 곽,후한의 인물 | 한나라의 관료 | 205년 사망 | 쉬창시 출신 인물 | 영천 곽씨 | 전쟁 사망자
165,채모,chae_mo_165,KEEP,채모,채모,/w/%EC%B1%84%EB%AA%A8,https://namu.wiki/w/%EC%B1%84%EB%AA%A8,11,strong:후한 말|정사 삼국지|조위,후한 말의 군벌 인 유표 휘하의 호족 이자 무장. 자 는 덕규(德珪). 정사 삼국지 《양양기구기》에 따르,후한의 인물 | 한나라/무관 | 샹양시 출신 인물 | 조위의 인물
