character_id,name_kr,character_name,confirmed,best_score,best_title,best_path,best_url,reason_flags,best_desc
277,정평,jeong_pyeong_277,NO,-1,비정상적인 트래픽 감지,/w/정평,https://namu.wiki/w/%EC%A0%95%ED%8F%89,"title_mismatch,path_match",
278,한영,han_yeong_278,NO,-1,비정상적인 트래픽 감지,/w/한영,https://namu.wiki/w/%ED%95%9C%EC%98%81,"title_mismatch,path_match",
283,이안,i_an_283,NO,-1,비정상적인 트래픽 감지,/w/이안,https://namu.wiki/w/%EC%9D%B4%EC%95%88,"title_mismatch,path_match",
284,장원,jang_won_284,NO,-1,비정상적인 트래픽 감지,/w/장원,https://namu.wiki/w/%EC%9E%A5%EC%9B%90,"title_mismatch,path_match",
288,조영,jo_yeong_288,NO,-1,비정상적인 트래픽 감지,/w/조영,https://namu.wiki/w/%EC%A1%B0%EC%98%81,"title_mismatch,path_match",
290,왕우,wang_u_290,NO,-1,비정상적인 트래픽 감지,/w/왕우,https://namu.wiki/w/%EC%99%95%EC%9A%B0,"title_mismatch,path_match",
295,주현,ju_hyeon_295,NO,-1,비정상적인 트래픽 감지,/w/주현,https://namu.wiki/w/%EC%A3%BC%ED%98%84,"title_mismatch,path_match",
297,방영,bang_yeong_297,NO,-1,비정상적인 트래픽 감지,/w/방영,https://namu.wiki/w/%EB%B0%A9%EC%98%81,"title_mismatch,path_match",
303,손영,son_yeong_303,NO,-1,비정상적인 트래픽 감지,/w/손영,https://namu.wiki/w/%EC%86%90%EC%98%81,"title_mismatch,path_match",
304,서봉,seo_bong_304,NO,-1,비정상적인 트래픽 감지,/w/서봉,https://namu.wiki/w/%EC%84%9C%EB%B4%89,"title_mismatch,path_match",
305,원성,won_seong_305,NO,-1,비정상적인 트래픽 감지,/w/원성,https://namu.wiki/w/%EC%9B%90%EC%84%B1,"title_mismatch,path_match",
306,서강,seo_gang_306,NO,-1,비정상적인 트래픽 감지,/w/서강,https://namu.wiki/w/%EC%84%9C%EA%B0%95,"title_mismatch,path_match",
313,유영,yu_yeong_313,NO,-1,비정상적인 트래픽 감지,/w/유영,https://namu.wiki/w/%EC%9C%A0%EC%98%81,"title_mismatch,path_match",
316,팽수,paeng_su_316,NO,-1,비정상적인 트래픽 감지,/w/팽수,https://namu.wiki/w/%ED%8C%BD%EC%88%98,"title_mismatch,path_match",
321,서현,seo_hyeon_321,NO,-1,비정상적인 트래픽 감지,/w/서현,https://namu.wiki/w/%EC%84%9C%ED%98%84,"title_mismatch,path_match",
322,육명,yuk_myeong_322,NO,-1,비정상적인 트래픽 감지,/w/육명,https://namu.wiki/w/%EC%9C%A1%EB%AA%85,"title_mismatch,path_match",
323,동안,dong_an_323,NO,-1,비정상적인 트래픽 감지,/w/동안,https://namu.wiki/w/%EB%8F%99%EC%95%88,"title_mismatch,path_match",
325,조광,jo_gwang_325,NO,-1,비정상적인 트래픽 감지,/w/조광,https://namu.wiki/w/%EC%A1%B0%EA%B4%91,"title_mismatch,path_match",
331,진광,jin_gwang_331,NO,-1,비정상적인 트래픽 감지,/w/진광,https://namu.wiki/w/%EC%A7%84%EA%B4%91,"title_mismatch,path_match",
333,마우,ma_u_333,NO,-1,비정상적인 트래픽 감지,/w/마우,https://namu.wiki/w/%EB%A7%88%EC%9A%B0,"title_mismatch,path_match",
337,장우,jang_u_337,NO,-1,비정상적인 트래픽 감지,/w/장우,https://namu.wiki/w/%EC%9E%A5%EC%9A%B0,"title_mismatch,path_match",
340,팽충,paeng_chung_340,NO,-1,비정상적인 트래픽 감지,/w/팽충,https://namu.wiki/w/%ED%8C%BD%EC%B6%A9,"title_mismatch,path_match",
347,유원,yu_won_347,NO,-1,비정상적인 트래픽 감지,/w/유원,https://namu.wiki/w/%EC%9C%A0%EC%9B%90,"title_mismatch,path_match",
348,육현,yuk_hyeon_348,NO,-1,비정상적인 트래픽 감지,/w/육현,https://namu.wiki/w/%EC%9C%A1%ED%98%84,"title_mismatch,path_match",
349,팽민,paeng_min_349,NO,-1,비정상적인 트래픽 감지,/w/팽민,https://namu.wiki/w/%ED%8C%BD%EB%AF%BC,"title_mismatch,path_match",
352,진명,jin_myeong_352,NO,-1,비정상적인 트래픽 감지,/w/진명,https://namu.wiki/w/%EC%A7%84%EB%AA%85,"title_mismatch,path_match",
359,정진,jeong_jin_359,NO,-1,비정상적인 트래픽 감지,/w/정진,https://namu.wiki/w/%EC%A0%95%EC%A7%84,"title_mismatch,path_match",
